Source, Target
187059363,17546958
551557346,25073877
551557346,1339835893
170899638,255645890
170899638,909448512
243924603,1339835893
170315949,18510860
1692466376,62147616
1692466376,45450902
1692466376,49964679
1692466376,16478130
1692466376,69642048
139114713,3242567279
99532356,53503202
18941759,831206772
121495346,25073877
2896439073,2906238876
2896439073,1339835893
22059706,3054171096
190878483,1339835893
41809295,744697093663690752
3234666212,708428971931643905
187059363,196168350
34367582,42666106
187059363,593871970
53246981,1339835893
175662896,16129920
175662896,15053754
175662896,35094637
45480752,702147673651027968
45480752,1339835893
45480752,8370082
45480752,14377605
1732121486,2468413892
1732121486,4121502046
1732121486,22903233
29624486,10228272
29624486,1339835893
29624486,22499219
18315727,1339835893
2737498915,759251
2737498915,1339835893
115190442,216776631
115190442,29442313
7305712,43910797
736951440,2202308030
26174841,1203124412
26174841,3182287189
26174841,4164210783
187059363,3969530725
187059363,814503757
140136677,35094637
439608838,188793260
497360999,1339835893
497360999,24300583
251640705,158473531
251640705,52544275
503920284,1339835893
1113427808,1339835893
4417558281,1339835893
96070428,1367531
2416243884,23006794
24911779,1339835893
328966888,196168350
328966888,12811952
1611331740,1330457336
267401727,37774152
14450502,13992132
16737835,1339835893
57546895,1339835893
29339229,1339835893
93288759,29442313
93288759,216776631
93288759,1339835893
467134149,1339835893
144288146,603025587
40237537,25073877
232375375,1330457336
14128974,1339835893
14128974,2613691501
169940745,710982349
7663902,815537202
109926719,815537202
193596810,325830217
1232450052,23865382
1232450052,16041234
1232450052,14957147
781491312,1339835893
98503369,3980962156
152777701,542962969
152777701,39308549
152777701,115979444
152777701,1339835893
152777701,1330457336
250212211,50325797
250212211,135575282
331263930,1339835893
331263930,260917856
7108702,1339835893
3911239745,1339835893
99532356,23995748
343524813,29442313
942388940,25073877
787989258,14377605
787989258,13850422
787989258,16032925
787989258,25073877
473196585,728997286139863040
473196585,2467791
473196585,14377605
473196585,29941935
473196585,22485748
718517651954364417,3404250059
718517651954364417,52209156
22786490,16190478
22786490,1367531
22786490,169203819
4443451756,25963876
4443451756,710302327
4443451756,173101138
4443451756,74820061
4443451756,487007757
4443451756,18216752
4443451756,19254622
4443451756,268397648
4443451756,187923237
3306334832,115979444
3306334832,60919240
3258973388,1339835893
26805572,1339835893
2179363256,25073877
184780576,184780576
260754244,15679641
260754244,15694286
260754244,759251
260754244,15513604
260754244,15933690
260754244,16664681
1679683038,129392313
116350889,117501995
17773367,405004997
50186962,1339835893
392821635,1339835893
340071014,240694112
24840748,1339835893
24840748,1330457336
17003566,35408870
292707752,95713333
1102768411,1339835893
15088465,603025587
16860498,815537202
525884669,2242866050
525884669,3314189176
525884669,1031086644
366602165,115979444
34744730,172858784
245420030,26637348
245420030,216776631
42553151,35094637
308778581,813286
308778581,17629860
14766159,522538187
61670477,1339835893
2361108396,382154306
797629032,1330457336
243218263,1339835893
243218263,1330457336
3140854488,20336623
134486309,258935374
244315975,1339835893
244315975,21447363
17245005,1064206014
17245005,2836421
1507986534,1339835893
138589483,1339835893
238392907,603025587
170117714,1330457336
436330786,25073877
31352444,1917731
31352444,495602226
31352444,1339835893
97273575,1482630408
9700152,813286
17897296,172858784
147248694,28628850
147248694,228747444
408816873,813286
408816873,939091
3092455390,63262233
16226910,25073877
